plate_map_name	well_position	broad_sample	solvent
JUMP-Target-2_compound_platemap	O08	BRD-K99616396-316-05-3	DMSO
JUMP-Target-2_compound_platemap	O09	BRD-K47557313-001-03-9	DMSO
JUMP-Target-2_compound_platemap	O10	BRD-A64173453-015-03-1	DMSO
JUMP-Target-2_compound_platemap	O11		DMSO
JUMP-Target-2_compound_platemap	O12		DMSO
JUMP-Target-2_compound_platemap	O13	BRD-K44432556-001-02-2	DMSO
JUMP-Target-2_compound_platemap	O14	BRD-A84687895-001-03-2	DMSO
JUMP-Target-2_compound_platemap	O15	BRD-K36927236-001-30-0	DMSO
JUMP-Target-2_compound_platemap	O16	BRD-K19227686-001-18-6	DMSO
JUMP-Target-2_compound_platemap	O17	BRD-K16542329-001-13-5	DMSO
JUMP-Target-2_compound_platemap	O18	BRD-A86665761-001-01-1	DMSO
JUMP-Target-2_compound_platemap	O19	BRD-K57708067-001-02-9	DMSO
JUMP-Target-2_compound_platemap	O20	BRD-A48180038-003-24-3	DMSO
JUMP-Target-2_compound_platemap	O21	BRD-K36574127-001-04-9	DMSO
JUMP-Target-2_compound_platemap	O22	BRD-A01078468-001-14-8	DMSO
JUMP-Target-2_compound_platemap	O23	BRD-K67915505-001-01-2	DMSO
JUMP-Target-2_compound_platemap	O24	BRD-K14681867-001-01-6	DMSO
JUMP-Target-2_compound_platemap	P01	BRD-K61845293-300-03-9	DMSO
JUMP-Target-2_compound_platemap	P02	BRD-K01825660-322-01-9	DMSO
JUMP-Target-2_compound_platemap	P03	BRD-K06426971-001-04-9	DMSO
JUMP-Target-2_compound_platemap	P04	BRD-K48830578-001-01-9	DMSO
JUMP-Target-2_compound_platemap	P05	BRD-K53061490-003-13-9	DMSO
JUMP-Target-2_compound_platemap	P06	BRD-A10739734-003-09-8	DMSO
JUMP-Target-2_compound_platemap	P07	BRD-K64034691-001-01-9	DMSO
JUMP-Target-2_compound_platemap	P08	BRD-K20093108-001-02-3	DMSO
JUMP-Target-2_compound_platemap	P09	BRD-A25569250-001-03-3	DMSO
JUMP-Target-2_compound_platemap	P10	BRD-K12102668-001-25-5	DMSO
JUMP-Target-2_compound_platemap	P11		DMSO
